VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,E.V_Type,Electric Range,Base MSRP,Vehicle Location
JTMAB3FV3P,Kitsap,Seabeck,WA,98380.0,2023,TOYOTA,RAV4 PRIME,PHEV,42.0,0.0,POINT (-122.8728334 47.5798304)
1N4AZ1CP6J,Kitsap,Bremerton,WA,98312.0,2018,NISSAN,LEAF,BEV,151.0,0.0,POINT (-122.6961203 47.5759584)
5YJ3E1EA4L,King,Seattle,WA,98101.0,2020,TESLA,MODEL 3,BEV,266.0,0.0,POINT (-122.3340795 47.6099315)
1N4AZ0CP8E,King,Seattle,WA,98125.0,2014,NISSAN,LEAF,BEV,84.0,0.0,POINT (-122.304356 47.715668)
1G1FX6S00H,Thurston,Yelm,WA,98597.0,2017,CHEVROLET,BOLT EV,BEV,238.0,0.0,POINT (-122.5715761 46.9095798)
5YJYGDEE5L,Snohomish,Lynnwood,WA,98036.0,2020,TESLA,MODEL Y,BEV,291.0,0.0,POINT (-122.287143 47.812199)
KM8S6DA23N,Kitsap,Poulsbo,WA,98370.0,2022,HYUNDAI,SANTA FE,PHEV,31.0,0.0,POINT (-122.6368884 47.7469547)
7FCTGAAA1P,Snohomish,Arlington,WA,98223.0,2023,RIVIAN,R1T,BEV,0.0,0.0,POINT (-122.11597 48.194109)
5YJYGDEE9L,King,Kent,WA,98031.0,2020,TESLA,MODEL Y,BEV,291.0,0.0,POINT (-122.201564 47.402358)
1N4AZ0CP2F,King,Kirkland,WA,98034.0,2015,NISSAN,LEAF,BEV,84.0,0.0,POINT (-122.2026532 47.7210518)
1G1FX6S0XH,Kitsap,Bremerton,WA,98337.0,2017,CHEVROLET,BOLT EV,BEV,238.0,0.0,POINT (-122.632139 47.569172)
1FADP3R40D,Thurston,Tumwater,WA,98501.0,2013,FORD,FOCUS,BEV,76.0,0.0,POINT (-122.8733203 47.0133209)
KNDJX3AE8G,Yakima,Yakima,WA,98908.0,2016,KIA,SOUL,BEV,93.0,31950.0,POINT (-120.611068 46.596645)
1G1RB6S50J,Thurston,Centralia,WA,98531.0,2018,CHEVROLET,VOLT,PHEV,53.0,0.0,POINT (-122.9735677 46.7269138)
WAUSPBFF2H,King,Seattle,WA,98117.0,2017,AUDI,A3,PHEV,16.0,0.0,POINT (-122.377938 47.690166)
1N4AZ0CPXD,Snohomish,Lynnwood,WA,98087.0,2013,NISSAN,LEAF,BEV,75.0,0.0,POINT (-122.27336 47.861417)
ZACPDFCW7R,Thurston,Olympia,WA,98512.0,2024,DODGE,HORNET,PHEV,32.0,0.0,POINT (-122.957046 46.991391)
5YJSA1E27J,King,Kirkland,WA,98034.0,2018,TESLA,MODEL S,BEV,249.0,0.0,POINT (-122.2026532 47.7210518)
5YJ3E1EB7J,King,Issaquah,WA,98027.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.0402383 47.5276876)
5YJ3E1EA6J,King,Duvall,WA,98019.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-121.956372 47.735604)
1G1RD6E46C,Thurston,Olympia,WA,98506.0,2012,CHEVROLET,VOLT,PHEV,35.0,0.0,POINT (-122.86491 47.07503)
WBY1Z8C59H,King,Seattle,WA,98102.0,2017,BMW,I3,PHEV,97.0,0.0,POINT (-122.3212726 47.6296532)
KNDCE3LG5K,Snohomish,Lake Stevens,WA,98258.0,2019,KIA,NIRO,BEV,239.0,0.0,POINT (-122.0816912 48.0122934)
5YJ3E1EA2J,Yakima,Yakima,WA,98902.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-120.530331 46.59534)
5YJ3E1EA0J,Thurston,Olympia,WA,98501.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.8733203 47.0133209)
WVWKP7AU1G,Yakima,Selah,WA,98942.0,2016,VOLKSWAGEN,E-GOLF,BEV,83.0,0.0,POINT (-120.5517376 46.6678647)
5YJSA1DP4D,Yakima,Zillah,WA,98953.0,2013,TESLA,MODEL S,BEV,208.0,69900.0,POINT (-120.2658133 46.4063477)
1N4AZ1CP7J,Snohomish,Bothell,WA,98021.0,2018,NISSAN,LEAF,BEV,151.0,0.0,POINT (-122.2107298 47.7977268)
1N4BZ0CP7H,Kitsap,Kingston,WA,98346.0,2017,NISSAN,LEAF,BEV,107.0,0.0,POINT (-122.5178351 47.7981436)
KNDPYDDH2R,Kitsap,Poulsbo,WA,98370.0,2024,KIA,SPORTAGE,PHEV,34.0,0.0,POINT (-122.6368884 47.7469547)
5UXTS1C04M,Kitsap,Bremerton,WA,98312.0,2021,BMW,X3,PHEV,17.0,0.0,POINT (-122.6961203 47.5759584)
5YJ3E1EA2L,Thurston,Olympia,WA,98502.0,2020,TESLA,MODEL 3,BEV,266.0,0.0,POINT (-122.943445 47.059252)
5YJ3E1EA3K,Kitsap,Bremerton,WA,98311.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-122.636245 47.62806)
5YJSA1H28F,King,Seattle,WA,98122.0,2015,TESLA,MODEL S,BEV,208.0,0.0,POINT (-122.3128637 47.6104992)
1G1FZ6S08K,Snohomish,Bothell,WA,98021.0,2019,CHEVROLET,BOLT EV,BEV,238.0,0.0,POINT (-122.2107298 47.7977268)
KNDCE3LG2K,Thurston,Olympia,WA,98501.0,2019,KIA,NIRO,BEV,239.0,0.0,POINT (-122.8733203 47.0133209)
5YJXCAE25J,Snohomish,Bothell,WA,98012.0,2018,TESLA,MODEL X,BEV,238.0,0.0,POINT (-122.206146 47.839957)
5YJ3E1EA2K,King,Seattle,WA,98103.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-122.3499053 47.673887)
1N4AZ0CP9D,Kitsap,Port Orchard,WA,98367.0,2013,NISSAN,LEAF,BEV,75.0,0.0,POINT (-122.6530052 47.4739066)
5UX43EU02S,King,Seattle,WA,98199.0,2025,BMW,X5,PHEV,40.0,0.0,POINT (-122.394937 47.649547)
JTDKARFP2H,Yakima,Yakima,WA,98902.0,2017,TOYOTA,PRIUS PRIME,PHEV,25.0,0.0,POINT (-120.530331 46.59534)
